,CMTE_ID,CMTE_PTY_AFFILIATION
693,C00304378,DEM
694,C00304386,DEM
695,C00304436,REP
696,C00304527,REP
697,C00304626,REP
698,C00304667,REP
699,C00304709,DEM
700,C00304758,REP
701,C00304915,REP
702,C00304923,REP
703,C00304931,REP
704,C00304949,REP
705,C00304998,REP
706,C00305052,REP
707,C00305342,REP
708,C00305359,REP
709,C00305482,REP
710,C00305516,REP
711,C00305656,DEM
712,C00305920,DEM
713,C00305961,DEM
714,C00306035,DEM
715,C00306225,REP
716,C00306266,DEM
717,C00306290,DEM
718,C00306332,REP
719,C00306704,REP
720,C00306712,DEM
721,C00306787,DEM
722,C00306829,DEM
723,C00306860,DEM
724,C00307074,REP
725,C00307165,REP
726,C00307256,DEM
727,C00307306,DEM
728,C00307314,DEM
729,C00307348,REP
730,C00307587,DEM
731,C00307611,REP
732,C00307645,DEM
733,C00307850,DEM
734,C00307868,REP
735,C00307884,REP
736,C00307918,DEM
737,C00307959,REP
738,C00308007,DEM
739,C00308114,REP
740,C00308122,REP
741,C00308213,DEM
742,C00308395,DEM
743,C00308403,DEM
744,C00308429,DEM
745,C00308445,DEM
746,C00308536,REP
747,C00308569,REP
748,C00308577,REP
749,C00308676,DEM
750,C00308742,DEM
751,C00308759,DEM
752,C00308890,REP
753,C00308916,REP
754,C00308932,REP
755,C00309054,REP
756,C00309237,DEM
757,C00309260,REP
758,C00309401,DEM
759,C00309427,REP
760,C00309567,DEM
761,C00309740,DEM
762,C00309849,DEM
763,C00309930,REP
764,C00310011,REP
765,C00310136,REP
766,C00310144,DEM
767,C00310169,DEM
768,C00310185,DEM
769,C00310466,REP
770,C00310490,REP
771,C00310532,REP
772,C00310607,DEM
773,C00310706,DEM
774,C00310714,DEM
775,C00310870,DEM
776,C00310896,DEM
777,C00310904,DEM
778,C00310938,DEM
779,C00310979,DEM
780,C00311019,REP
781,C00311043,REP
782,C00311076,DEM
783,C00311209,DEM
784,C00311217,DEM
785,C00311233,REP
786,C00311456,DEM
787,C00311639,DEM
788,C00311712,DEM
789,C00311837,REP
790,C00311852,REP
791,C00311886,REP
792,C00311969,DEM
793,C00312017,DEM
794,C00312090,REP
795,C00312124,DEM
796,C00312140,DEM
797,C00312256,REP
798,C00312330,DEM
799,C00312371,DEM
800,C00312512,REP
801,C00312611,REP
802,C00312645,DEM
803,C00312728,REP
804,C00312819,REP
805,C00312850,DEM
806,C00312884,DEM
807,C00312900,REP
808,C00313007,REP
809,C00313049,REP
810,C00313247,REP
811,C00313288,REP
812,C00313437,REP
813,C00313445,REP
814,C00313510,DEM
815,C00313684,DEM
816,C00313734,DEM
817,C00313817,DEM
818,C00313833,DEM
819,C00313874,DEM
820,C00314096,REP
821,C00314153,DEM
822,C00314286,REP
823,C00314310,DEM
824,C00314328,DEM
825,C00314377,DEM
826,C00314526,DEM
827,C00314575,REP
828,C00314583,DEM
829,C00314799,DEM
830,C00314922,REP
831,C00315036,DEM
832,C00315176,DEM
833,C00315184,DEM
834,C00315218,REP
835,C00315416,REP
836,C00315424,REP
837,C00315564,DEM
838,C00315630,REP
839,C00315788,DEM
840,C00315796,REP
841,C00315978,DEM
842,C00315986,DEM
843,C00316141,DEM
844,C00316216,DEM
845,C00316307,DEM
846,C00316380,REP
847,C00316422,DEM
848,C00316448,REP
849,C00316497,DEM
850,C00316596,DEM
851,C00316661,DEM
852,C00316828,REP
853,C00316851,DEM
854,C00316935,REP
855,C00316950,DEM
856,C00317537,DEM
857,C00317701,DEM
858,C00317719,DEM
859,C00317743,REP
860,C00317842,DEM
861,C00317909,REP
862,C00317933,REP
863,C00317974,DEM
864,C00318055,DEM
865,C00318121,DEM
866,C00318196,DEM
867,C00318253,REP
868,C00318261,DEM
869,C00318329,DEM
870,C00318394,DEM
871,C00318410,DEM
872,C00318543,REP
873,C00318584,REP
874,C00318659,REP
875,C00318774,DEM
876,C00318931,DEM
877,C00318998,REP
878,C00319038,REP
879,C00319343,DEM
880,C00319376,DEM
881,C00319418,DEM
882,C00319657,REP
883,C00319673,REP
884,C00319681,DEM
885,C00319806,DEM
886,C00319863,REP
887,C00319947,DEM
888,C00319988,DEM
889,C00320077,REP
890,C00320457,REP
891,C00320754,DEM
892,C00320812,DEM
893,C00320861,DEM
894,C00321141,REP
895,C00321414,DEM
896,C00321448,DEM
897,C00321620,REP
898,C00321653,DEM
899,C00321885,DEM
900,C00322768,REP
901,C00323253,DEM
902,C00323519,REP
903,C00323618,REP
904,C00323865,DEM
905,C00323923,DEM
906,C00325126,DEM
907,C00325233,DEM
908,C00325274,REP
909,C00325449,DEM
910,C00325464,REP
911,C00325670,REP
912,C00325704,DEM
913,C00325712,REP
914,C00325738,DEM
915,C00325878,REP
916,C00326108,DEM
917,C00326140,DEM
918,C00326223,DEM
919,C00326272,DEM
920,C00326314,REP
921,C00326363,DEM
922,C00326538,REP
923,C00326546,REP
924,C00326611,REP
925,C00326629,REP
926,C00326751,DEM
927,C00326769,REP
928,C00326819,DEM
929,C00326835,REP
930,C00326934,REP
931,C00326942,REP
932,C00326975,REP
933,C00326991,REP
934,C00327007,REP
935,C00327023,DEM
936,C00327106,REP
937,C00327197,DEM
938,C00327205,DEM
939,C00327338,REP
940,C00327452,REP
941,C00327536,DEM
942,C00327544,REP
943,C00327585,DEM
944,C00327742,DEM
945,C00327924,DEM
946,C00327932,DEM
947,C00327940,REP
948,C00327965,DEM
949,C00327973,DEM
950,C00328187,REP
951,C00328211,DEM
952,C00328260,REP
953,C00328310,REP
954,C00328351,DEM
955,C00328377,REP
956,C00328435,REP
957,C00328443,REP
958,C00328526,REP
959,C00328658,DEM
960,C00328690,DEM
961,C00328740,REP
962,C00328757,REP
963,C00328781,REP
964,C00328880,REP
965,C00328898,DEM
966,C00328948,REP
967,C00328997,DEM
968,C00329060,REP
969,C00329136,DEM
970,C00329144,DEM
971,C00329193,DEM
972,C00329292,DEM
973,C00329300,DEM
974,C00329359,DEM
975,C00329375,DEM
976,C00329383,REP
977,C00329433,DEM
978,C00329458,DEM
979,C00329490,REP
980,C00329508,REP
981,C00329540,REP
982,C00329557,DEM
983,C00329680,DEM
984,C00329706,DEM
985,C00329714,REP
986,C00329730,REP
987,C00329763,DEM
988,C00329839,REP
989,C00329847,DEM
990,C00329896,DEM
991,C00329987,DEM
992,C00330084,DEM
993,C00330126,DEM
994,C00330142,DEM
995,C00330159,DEM
996,C00330241,REP
997,C00330282,REP
998,C00330308,REP
999,C00330340,DEM
1000,C00330357,DEM
1001,C00330365,REP
1002,C00330423,REP
1003,C00330456,DEM
1004,C00330589,REP
1005,C00330597,REP
1006,C00330605,REP
1007,C00330639,DEM
1008,C00330753,DEM
1009,C00330803,REP
1010,C00330811,REP
1011,C00330886,REP
1012,C00330894,REP
1013,C00330928,REP
1014,C00330969,REP
1015,C00331066,DEM
1016,C00331108,REP
1017,C00331116,REP
1018,C00331157,REP
1019,C00331207,DEM
1020,C00331215,DEM
1021,C00331231,REP
1022,C00331256,REP
1023,C00331280,DEM
1024,C00331389,DEM
1025,C00331397,REP
1026,C00331470,REP
1027,C00331496,REP
1028,C00331611,REP
1029,C00331678,REP
1030,C00331710,REP
1031,C00331769,DEM
1032,C00331793,DEM
1033,C00331843,REP
1034,C00332015,REP
1035,C00332114,REP
1036,C00332122,REP
1037,C00332155,DEM
1038,C00332304,REP
1039,C00332312,REP
1040,C00332411,DEM
1041,C00332445,DEM
1042,C00332577,DEM
1043,C00332585,REP
1044,C00332601,DEM
1045,C00332619,DEM
1046,C00332627,REP
1047,C00332650,REP
1048,C00332668,REP
1049,C00332684,DEM
1050,C00332742,REP
1051,C00332759,REP
1052,C00332874,DEM
1053,C00332890,REP
1054,C00332908,REP
1055,C00332957,DEM
1056,C00332981,DEM
1057,C00333013,DEM
1058,C00333054,REP
1059,C00333070,REP
1060,C00333088,REP
1061,C00333245,DEM
1062,C00333252,REP
1063,C00333377,DEM
1064,C00333393,DEM
1065,C00333427,REP
1066,C00333468,REP
1067,C00333476,DEM
1068,C00333518,DEM
1069,C00333575,REP
1070,C00333740,DEM
1071,C00333823,REP
1072,C00333872,REP
1073,C00333906,DEM
1074,C00333997,DEM
1075,C00334011,REP
1076,C00334029,REP
1077,C00334045,REP
1078,C00334060,REP
1079,C00334128,REP
1080,C00334144,REP
1081,C00334169,REP
1082,C00334177,DEM
1083,C00334219,DEM
1084,C00334235,REP
1085,C00334276,DEM
1086,C00334318,REP
1087,C00334334,REP
1088,C00334359,DEM
1089,C00334383,REP
1090,C00334409,DEM
1091,C00334441,DEM
1092,C00334466,REP
1093,C00334516,REP
1094,C00334540,DEM
1095,C00334557,REP
1096,C00334615,DEM
1097,C00334698,DEM
1098,C00334706,DEM
1099,C00334797,DEM
1100,C00334821,REP
1101,C00334862,DEM
1102,C00334912,DEM
1103,C00334946,REP
1104,C00335018,REP
1105,C00335067,REP
1106,C00335075,REP
1107,C00335190,REP
1108,C00335406,DEM
1109,C00335505,DEM
1110,C00335539,REP
1111,C00335604,REP
1112,C00335612,REP
1113,C00335661,REP
1114,C00335687,REP
1115,C00335695,REP
1116,C00335703,REP
1117,C00335745,DEM
1118,C00335778,DEM
1119,C00335810,DEM
1120,C00335893,REP
1121,C00336016,REP
1122,C00336065,REP
1123,C00336099,DEM
1124,C00336123,REP
1125,C00336156,REP
1126,C00336214,REP
1127,C00336289,DEM
1128,C00336305,REP
1129,C00336313,REP
1130,C00336388,DEM
1131,C00336420,DEM
1132,C00336453,DEM
1133,C00336537,REP
1134,C00336560,REP
1135,C00336610,REP
1136,C00336669,DEM
1137,C00336677,REP
1138,C00336826,REP
1139,C00336867,REP
1140,C00336925,DEM
1141,C00336933,DEM
1142,C00336966,DEM
1143,C00337030,DEM
1144,C00337048,DEM
1145,C00337089,DEM
1146,C00337154,DEM
1147,C00337170,REP
1148,C00337279,DEM
1149,C00337428,REP
1150,C00337436,DEM
1151,C00337543,DEM
1152,C00337584,DEM
1153,C00337675,DEM
1154,C00337907,DEM
1155,C00337931,DEM
1156,C00337949,DEM
1157,C00337980,DEM
1158,C00338053,DEM
1159,C00338095,DEM
1160,C00338145,DEM
1161,C00338160,DEM
1162,C00338418,DEM
1163,C00338434,DEM
1164,C00338707,DEM
1165,C00338855,DEM
1166,C00338947,REP
1167,C00338954,DEM
1168,C00339150,REP
1169,C00339242,REP
1170,C00339259,DEM
1171,C00339267,REP
1172,C00339341,DEM
1173,C00339424,DEM
1174,C00339606,REP
1175,C00339648,REP
1176,C00339697,REP
1177,C00339705,DEM
1178,C00340463,REP
1179,C00340471,REP
1180,C00340497,DEM
1181,C00340596,DEM
1182,C00340695,REP
1183,C00340935,DEM
1184,C00341099,DEM
1185,C00341529,REP
1186,C00341594,REP
1187,C00341610,REP
1188,C00341818,DEM
1189,C00341891,REP
1190,C00341925,REP
1191,C00342048,DEM
1192,C00342154,REP
1193,C00342204,DEM
1194,C00342212,DEM
